time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-10T18:12:34.393Z,-0.9254,-22.0667,10,5.3,mb,72,46,10.364,0.68,us,us6000nxws,2024-10-10T18:36:20.040Z,"central Mid-Atlantic Ridge",earthquake,8.28,1.848,0.041,194,reviewed,us,us
2024-10-10T13:59:50.740Z,37.0185,4.5404,10,4.5,mb,32,154,2.881,0.76,us,us6000nxv3,2024-10-10T15:04:50.005Z,"32 km NE of Arhribs, Algeria",earthquake,8.63,1.929,0.139,15,reviewed,us,us
2024-10-10T09:44:39.894Z,-47.5338,99.958,10,5.4,mww,42,58,19.604,0.33,us,us6000nxt5,2024-10-10T14:09:53.581Z,"southeast Indian Ridge",earthquake,13.12,1.836,0.086,13,reviewed,us,us
2024-10-10T07:22:47.025Z,1.9215,127.2259,114.964,4.9,mww,71,45,1.151,0.76,us,us6000nxsh,2024-10-10T07:40:52.005Z,"89 km WNW of Tobelo, Indonesia",earthquake,7.92,3.85,0.08,15,reviewed,us,us
2024-10-10T04:51:31.536Z,55.0063,-160.4183,48.808,4.7,mwr,115,157,0.345,0.91,us,us6000nxr5,2024-10-10T20:03:36.315Z,"37 km S of Sand Point, Alaska",earthquake,3.66,5.329,0.073,18,reviewed,us,us
2024-10-10T04:46:27.602Z,-37.2944,47.6955,10,5.1,mb,47,26,20.687,0.89,us,us6000nxr6,2024-10-10T05:07:09.005Z,"Southwest Indian Ridge",earthquake,11.81,1.848,0.065,76,reviewed,us,us
2024-10-10T03:13:40.152Z,-24.0966,-67.2109,194.523,4.6,mb,26,60,2.411,0.57,us,us6000nxqv,2024-10-10T03:31:10.005Z,"91 km W of San Antonio de los Cobres, Argentina",earthquake,4.19,21.218,0.193,8,reviewed,us,us
2024-10-10T02:33:02.983Z,42.1926,143.3339,48.76,4.6,mb,76,158,0.221,0.55,us,us6000nxqp,2024-10-10T02:55:05.005Z,"10 km SSE of Hiroo, Japan",earthquake,8.39,5.956,0.054,103,reviewed,us,us
2024-10-09T22:57:57.821Z,-3.6882,100.9513,35,4.7,mb,49,138,2.108,0.89,us,us6000nxpk,2024-10-10T01:02:05.554Z,"146 km W of Bengkulu, Indonesia",earthquake,6.92,1.757,0.092,36,reviewed,us,us
2024-10-09T21:26:44.902Z,-23.2846,-175.9367,35,4.7,mb,25,115,2.104,1.05,us,us6000nxnq,2024-10-09T21:51:39.005Z,"237 km SSW of ‘Ohonua, Tonga",earthquake,11.07,1.895,0.12,21,reviewed,us,us
2024-10-09T19:57:28.104Z,-31.7198,-178.4643,43.041,5.2,mb,62,70,2.494,1.17,us,us6000nxmm,2024-10-09T20:20:15.005Z,"Kermadec Islands region",earthquake,12.31,6.051,0.071,65,reviewed,us,us
