Id,Site,Imt,PoE,Dist,Mag
0,Ashgabat,PGA,0.86,25.0,5.5
0,Ashgabat,SA(0.1),0.86,25.0,5.5
0,Ashgabat,SA(0.2),0.86,25.0,5.5
0,Ashgabat,SA(0.5),0.86,25.0,5.5
0,Ashgabat,SA(1.0),0.86,25.0,5.5
0,Ashgabat,SA(2.0),0.86,25.0,5.5
0,Ashgabat,SA(3.0),0.86,55.0,6.5
0,Ashgabat,PGA,0.63,25.0,5.5
0,Ashgabat,SA(0.1),0.63,25.0,5.5
0,Ashgabat,SA(0.2),0.63,25.0,5.5
0,Ashgabat,SA(0.5),0.63,25.0,5.5
0,Ashgabat,SA(1.0),0.63,15.0,5.5
0,Ashgabat,SA(2.0),0.63,45.0,6.5
0,Ashgabat,SA(3.0),0.63,45.0,6.5
0,Ashgabat,PGA,0.39,25.0,5.5
0,Ashgabat,SA(0.1),0.39,25.0,5.5
0,Ashgabat,SA(0.2),0.39,25.0,5.5
0,Ashgabat,SA(0.5),0.39,15.0,5.5
0,Ashgabat,SA(1.0),0.39,15.0,5.5
0,Ashgabat,SA(2.0),0.39,25.0,6.5
0,Ashgabat,SA(3.0),0.39,45.0,6.5
0,Ashgabat,PGA,0.18,25.0,5.5
0,Ashgabat,SA(0.1),0.18,25.0,5.5
0,Ashgabat,SA(0.2),0.18,15.0,5.5
0,Ashgabat,SA(0.5),0.18,15.0,5.5
0,Ashgabat,SA(1.0),0.18,25.0,6.5
0,Ashgabat,SA(2.0),0.18,25.0,6.5
0,Ashgabat,SA(3.0),0.18,25.0,6.5
0,Ashgabat,PGA,0.1,15.0,5.5
0,Ashgabat,SA(0.1),0.1,25.0,5.5
0,Ashgabat,SA(0.2),0.1,15.0,5.5
0,Ashgabat,SA(0.5),0.1,15.0,5.5
0,Ashgabat,SA(1.0),0.1,25.0,6.5
0,Ashgabat,SA(2.0),0.1,15.0,6.5
0,Ashgabat,SA(3.0),0.1,15.0,6.5
0,Ashgabat,PGA,0.09,15.0,5.5
